#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
########################################;;;;;;;;;;;X
#  Division Description;;;;;;;;;;;X
########################################;;;;;;;;;;;X
NAME_LIGHTWEIGHTFIGHTER;Lightweight Fighter;Lightweight Fighter;Lightweight Fighter;Lightweight Fighter;Lightweight Fighter;Lightweight Fighter;;Lightweight Fighter;;;X
NAME_MIRV;MIRV;MIRV;MIRV;MIRV;MIRV;MIRV;;MIRV;;;X
NAME_HELOCAG;Helicopter CAG;Helicopter CAG;Helicopter CAG;Helicopter CAG;Helicopter CAG;Helicopter CAG;;Helicopter CAG;;;X
NAME_ARMDBOX;Armored Box Launcher & Anti Ship Missiles;Armored Box Launcher;Armored Box Launcher;Armored Box Launcher;Armored Box Launcher;Armored Box Launcher;;Armored Box Launcher;;;X
NAME_VSTOLPLANE;VSTOL Airplane;VSTOL Airplane;VSTOL Airplane;VSTOL Airplane;VSTOL Airplane;VSTOL Airplane;;VSTOL Airplane;;;X
NAME_AWACSPLANE;AWACS Airplane;AWACS Airplane;AWACS Airplane;AWACS Airplane;AWACS Airplane;AWACS Airplane;;AWACS Airplane;;;X
NAME_REFUELPLANE;Refuelling Aircraft;Refuelling Aircraft;Refuelling Aircraft;Refuelling Aircraft;Refuelling Aircraft;Refuelling Aircraft;;Refuelling Aircraft;;;X
NAME_HACAG;Heavy Aviation Cruiser CAG;Heavy Aviation Cruiser CAG;Heavy Aviation Cruiser CAG;Heavy Aviation Cruiser CAG;Heavy Aviation Cruiser CAG;Heavy Aviation Cruiser CAG;;Heavy Aviation Cruiser CAG;;;X
NAME_NAVALCOMMANDO;Naval Raid Commando;Naval Raid Commando;Naval Raid Commando;Naval Raid Commando;Naval Raid Commando;Naval Raid Commando;;Naval Raid Commando;;;X
NAME_CIWS;Close-in Weapon System;Close-in Weapon System;Close-in Weapon System;Close-in Weapon System;Close-in Weapon System;Close-in Weapon System;;Close-in Weapon System;;;X
NAME_MISSILECORVETTE;Missile Corvette;Missile Corvette;Missile Corvette;Missile Corvette;Missile Corvette;Missile Corvette;;Missile Corvette;;;X
NAME_GUNCORVETTE;ASW Corvette;ASW Corvette;ASW Corvette;ASW Corvette;ASW Corvette;ASW Corvette;;ASW Corvette;;;X
NAME_ANTITANKGUN;Anti Tank Gun;Anti Tank Gun;Anti Tank Gun;Anti Tank Gun;Anti Tank Gun;Anti Tank Gun;;Anti Tank Gun;;;X
NAME_LANDKREUZER;Land Cruiser;Land Cruiser;Land Cruiser;Land Cruiser;Land Cruiser;Land Cruiser;;Land Cruiser;;;X
NAME_SPECFORC;Special Forces;Special Forces;Special Forces;Special Forces;Special Forces;Special Forces;;Special Forces;;;X
NAME_LARGEASWDD;Large ASW Ship;Large ASW Ship;Large ASW Ship;Large ASW Ship;Large ASW Ship;Large ASW Ship;;Large ASW Ship;;;X
NAME_DDG;Guided Missile Destroyer;Guided Missile Destroyer;Guided Missile Destroyer;Guided Missile Destroyer;Guided Missile Destroyer;Guided Missile Destroyer;;Guided Missile Destroyer;;;X
NAME_FRIGATE;Frigate;Frigate;Frigate;Frigate;Frigate;Frigate;;Frigate;;;X
NAME_SSBN;Nuclear Ballistic Submarine;Nuclear Ballistic Submarine;Nuclear Ballistic Submarine;Nuclear Ballistic Submarine;Nuclear Ballistic Submarine;Nuclear Ballistic Submarine;;Nuclear Ballistic Submarine;;;X
NAME_NUCATTACKSUB;Nuclear Attack Submarine;Nuclear Attack Submarine;Nuclear Attack Submarine;Nuclear Attack Submarine;Nuclear Attack Submarine;Nuclear Attack Submarine;;Nuclear Attack Submarine;;;X
NAME_NUCLEARCRUISER;Nuclear Cruiser;Nuclear Cruiser;Nuclear Cruiser;Nuclear Cruiser;Nuclear Cruiser;Nuclear Cruiser;;Nuclear Cruiser;;;X
NAME_AIRASSBRIG;Air Assault Brigade;Air Assault Brigade;Air Assault Brigade;Air Assault Brigade;Air Assault Brigade;Air Assault Brigade;;Air Assault Brigade;;;X
NAME_AIRASSAULTDIVISION;Air Assault Division;Air Assault Division;Air Assault Division;Air Assault Division;Air Assault Division;Air Assault Division;;Air Assault Division;;;X
NAME_FIXEDWINGGUNSHIP;Fixed Wing Gunship;Fixed Wing Gunship;Fixed Wing Gunship;Fixed Wing Gunship;Fixed Wing Gunship;Fixed Wing Gunship;;Fixed Wing Gunship;;;X
NAME_COINPLANE;Counter-insurgency aircraft;Counter-insurgency aircraft;Counter-insurgency aircraft;Counter-insurgency aircraft;Counter-insurgency aircraft;Counter-insurgency aircraft;;Counter-insurgency aircraft;;;X
NAME_ATT_HELO;Attack Helicopter;Attack Helicopter;Attack Helicopter;Attack Helicopter;Attack Helicopter;Attack Helicopter;;Attack Helicopter;;;X
NAME_NAVHELO;Naval Helicopter;Naval Helicopter;Naval Helicopter;Naval Helicopter;Naval Helicopter;Naval Helicopter;;Naval Helicopter;;;X
NAME_INFANTRY;Infantry;Infanterie;Fanteria;Infantería;Infanterie;Piechota;;Ïåõîòà;;;X
NAME_CAVALRY;Cavalry;Cavalerie;Cavalleria;Caballería;Kavallerie;Kawaleria;;Êàâàëåðèÿ;;;X
NAME_MOTORIZED;Motorized;Motorisée;Unità motorizzata;Motorizada;Motorisiert;Zmotoryzowana;;Ìîòîðèç. ïåõîòà;;;X
NAME_MECHANIZED;Mechanized;Mécanisée;Unità meccanizzata;Mecanizada;Mechanisiert;Zmechanizowana;;Ìåõàíèç. ïåõîòà;;;X
NAME_LIGHT_ARMOR;Light Armored;Blindé léger;Corazzato leggero;Blindada ligera;Leichte Panzer;Lekka pancerna;;Ëåãêîòàíêîâàÿ äèâèçèÿ;;;X
NAME_ARMOR;Armored;Blindé;Corazzato;Blindada;Panzer;Pancerna;;Òàíêîâàÿ äèâèçèÿ;;;X
