Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Banchukov;5400010;UPE;1930;1990;1990;1990;3;5;384;0;0;5;0;L525000;1930;1960;1999;x
Barabanov;5400020;UPE;1930;1990;1990;1990;3;3;256;0;0;5;0;M525037;1930;1960;1999;x
Baranov;5400030;UPE;1930;1930;1990;1990;2;2;0;0;0;5;0;M525039;1930;1960;1999;x
Batyrov;5400040;UPE;1930;1939;1943;1990;1;4;8;2;0;5;0;L525003;1930;1960;1999;x
Beloglazov;5400050;UPE;1930;1940;1990;1990;3;3;256;1;0;5;0;L525004;1930;1960;1999;x
Belov;5400060;UPE;1930;1990;1990;1990;3;3;128;0;0;5;0;M525007;1930;1960;1999;x
Berlin;5400070;UPE;1930;1938;1990;1990;2;3;1;1;0;5;0;M525040;1930;1960;1999;x
Borisenko;5400080;UPE;1930;1938;1990;1990;2;2;64;1;0;5;0;L525007;1930;1960;1999;x
Bunin;5400090;UPE;1930;1990;1990;1990;3;2;4;0;0;5;0;L525008;1930;1960;1999;x
Fuchs;5400100;UPE;1930;1990;1990;1990;3;3;2;0;0;5;0;L525009;1930;1960;1999;x
Guth;5400110;UPE;1930;1990;1990;1990;3;3;16;0;0;5;0;L525010;1930;1960;1999;x
Ihssen;5400120;UPE;1930;1990;1990;1990;3;3;32;0;0;5;0;L525011;1930;1960;1999;x
Kahsnitz;5400130;UPE;1930;1990;1990;1990;3;3;1;0;0;5;0;L525012;1930;1960;1999;x
Kangelary;5400140;UPE;1930;1930;1990;1990;2;5;257;0;0;5;0;L525013;1930;1960;1999;x
Kiehl;5400150;UPE;1930;1990;1990;1990;3;3;0;0;0;5;0;L525014;1930;1960;1999;x
Raevs;5400160;UPE;1930;1990;1990;1990;3;2;0;0;0;5;0;M525038;1930;1960;1999;x
Schuchardt;5400170;UPE;1930;1990;1990;1990;3;3;128;0;0;5;0;L525016;1930;1960;1999;x
Thomas;5400180;UPE;1930;1990;1990;1990;3;2;0;0;0;5;0;L525017;1930;1960;1999;x
Ulrich;5400190;UPE;1930;1930;1930;1990;1;4;128;1;0;5;0;M525008;1930;1960;1999;x
Vierkorn;5400200;UPE;1930;1990;1990;1990;3;4;288;0;0;5;0;L525019;1930;1960;1999;x
von der Damereau-Dambrowski;5400210;UPE;1930;1990;1990;1990;3;3;2;0;0;5;0;L525020;1930;1960;1999;x
von Elverfeldt;5400220;UPE;1930;1990;1990;1990;3;3;4;0;0;5;0;L525021;1930;1960;1999;x
von Krziwanek;5400230;UPE;1930;1990;1990;1990;3;3;64;0;0;5;0;L525022;1930;1960;1999;x
von Wangenheim;5400240;UPE;1930;1990;1990;1990;3;3;0;0;0;5;0;L525023;1930;1960;1999;x
Batalov;5400250;UPE;1930;1940;1990;1990;3;2;0;1;0;5;1;M525009;1930;1960;1999;x
Baturin;5400260;UPE;1930;1942;1990;1990;2;3;4096;1;0;5;1;M525010;1930;1960;1999;x
Filipev;5400270;UPE;1930;1939;1990;1990;2;3;1024;1;0;5;1;M525042;1930;1960;1999;x
Kasatonov;5400280;UPE;1930;1939;1943;1990;2;3;0;2;0;5;1;L525027;1930;1960;1999;x
Baturin;5400290;UPE;1930;1942;1990;1990;2;3;131072;1;0;5;2;M525010;1930;1960;1999;x
Beloglazov;5400300;UPE;1930;1940;1990;1990;3;2;0;1;0;5;2;L525004;1930;1960;1999;x
Demchenko;5400310;UPE;1930;1990;1990;1990;3;3;0;0;0;5;2;L525030;1930;1960;1999;x
Mensch;5400320;UPE;1930;1990;1990;1990;3;3;0;0;0;5;2;L525031;1930;1960;1999;x
Petrikov;5400330;UPE;1930;1990;1990;1990;3;2;16384;0;0;5;2;M525043;1930;1960;1999;x
Zadorozhny;5400340;UPE;1930;1941;1990;1990;3;3;4096;1;0;5;2;M525044;1930;1960;1999;x
