U54;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
700400;Head of State;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknown;x
700401;Head of Government;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknown;x
700402;Foreign Minister;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknown;x
700403;Minister of Armament;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknown;x
700404;Minister of Security;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknown;x
700405;Head of Military Intelligence;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknown;x
700406;Chief of Staff;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknown;x
700407;Chief of Army;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknown;x
700408;Chief of Navy;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknown;x
700409;Chief of Air Force;Blue Shadow;1933;1964;1999;ML;Undistinguished Suit;Very High;unknown;x
700410;Head of State;Black Shadow;1933;1964;1999;FA;Undistinguished Suit;Very High;unknown;x
700411;Head of Government;Black Shadow;1933;1964;1999;FA;Undistinguished Suit;Very High;unknown;x
700412;Foreign Minister;Black Shadow;1933;1964;1999;FA;Undistinguished Suit;Very High;unknown;x
700413;Minister of Armament;Black Shadow;1933;1964;1999;FA;Undistinguished Suit;Very High;unknown;x
700414;Minister of Security;Black Shadow;1933;1964;1999;FA;Undistinguished Suit;Very High;unknown;x
700415;Head of Military Intelligence;Wilhelm Koppe;1933;1964;1999;NS;Logistics Specialist;High;3542;X
700416;Chief of Staff;Black Shadow;1933;1964;1999;FA;Undistinguished Suit;Very High;unknown;x
700417;Chief of Army;Black Shadow;1933;1964;1999;FA;Undistinguished Suit;Very High;unknown;x
700418;Chief of Navy;Black Shadow;1933;1964;1999;FA;Undistinguished Suit;Very High;unknown;x
700419;Chief of Air Force;Black Shadow;1933;1964;1999;FA;Undistinguished Suit;Very High;unknown;x
700420;Head of State;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknown;x
700421;Head of Government;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknown;x
700422;Foreign Minister;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknown;x
700423;Minister of Armament;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknown;x
700424;Minister of Security;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknown;x
700425;Head of Military Intelligence;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknown;x
700426;Chief of Staff;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknown;x
700427;Chief of Army;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknown;x
700428;Chief of Navy;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknown;x
700429;Chief of Air Force;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknown;x
