U56;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1020101;Head of State;Odilo Globocnik;1948;1980;1980;NS;Reichskommissar;Very High;U56_001;X
1020102;Head of Government;Boris Shteifon;1948;1975;1975;NS;Political Protege;Very High;U56_002;X
1020103;Foreign Minister;Odilo Globocnik;1948;1980;1980;NS;Iron fisted Brute;Very High;U56_001;X
1020104;Minister of Armament;Albert Speer;1933;1981;1981;NS;Genius organizer;High;2645;X
1020105;Minister of Security;Erich von dem Bach-Zalewski;1935;1980;1980;NS;Prince of Terror;Very High;L533;X
1020106;Head of Military Intelligence;Erich von dem Bach-Zalewski;1935;1964;1999;NS;Logistics Specialist;High;L533;X
1020107;Chief of Staff;Erich von dem Bach-Zalewski;1935;1980;1980;NS;school of manoeuvre;Very High;L533;X
1020108;Chief of Army;Erich von dem Bach-Zalewski;1935;1980;1980;NS;decisive battle doctrine;Very High;L533;X
1020109;Chief of Navy;Erich Raeder;1933;1960;1960;NS;Decisive Naval Battle Doctrine;High;2642;X
1020110;Chief of Air Force;Hermann Göring;1933;1973;1973;NS;The Iron Knight;Very High;2643;X
